Клиент;МТС Акт;Мегафон Акт;Теле2 Акт;МТС Ост;Мегафон Ост;Теле2 Ост;Акт сим;Ост сим;МТС начисл;Мегафон начисл;Теле2 начисл;Итого
Глобал Транс Групп;0;0;12;0;0;0;12;0;0;0;21261.190000000002;21261.190000000002
ООО ТСК (Сибтехрегион);42;0;18;0;0;0;60;0;27416.61;0;37366.0;64782.61
ООО_Ресурс;2;0;0;0;0;0;2;0;1380.01;0;0;1380.01
АльянсСК;0;0;0;10;0;0;0;10;0.0;0;0;0.0
Кодекс;18;0;0;0;0;0;18;0;12230.0;0;0;12230.0
ВЧ-Групп;0;3;0;1;1;0;3;2;0.0;2841.85;0;2841.85
ООО СТО 2000;7;0;0;0;0;0;7;0;5015.0;0;0;5015.0
ФСИН;4;0;0;0;0;0;4;0;2660.0;0;0;2660.0
ЕнисейСтройМеталл;1;0;0;0;0;0;1;0;665.0;0;0;665.0
СтройТехМонтаж ООО;22;0;0;0;0;0;22;0;15215.22;0;0;15215.22
КТСК ООО;1;0;0;0;0;0;1;0;665.0;0;0;665.0
Агрофирма Учумская;0;0;2;0;0;0;2;0;0;0;0.0;0.0
ИП_Старостин;3;0;0;1;0;0;3;1;1995.0;0;0;1995.0
Магистраль;1;0;0;0;0;0;1;0;665.0;0;0;665.0
ООО Русь;3;0;0;0;0;0;3;0;1995.0;0;0;1995.0
ООО Перевозчик;1;0;0;0;0;0;1;0;665.0;0;0;665.0
ООО ОЛМАЛ;5;0;0;0;0;0;5;0;3625.0;0;0;3625.0
МелехинЕВ;1;0;0;0;0;0;1;0;665.0;0;0;665.0
ИП Климович;4;0;0;0;0;0;4;0;2660.0;0;0;2660.0
M2M-TelematicsSiberia;2;0;0;0;0;0;2;0;1330.0;0;0;1330.0
ООО СибТрансСервис;9;0;0;0;0;0;9;0;5470.03;0;0;5470.03
Терминал;1;0;0;0;0;0;1;0;665.0;0;0;665.0
СПЕЦСИБТРАНС ООО;2;0;0;0;0;0;2;0;1330.0;0;0;1330.0
РК ООО;1;0;0;0;0;0;1;0;665.0;0;0;665.0
СОГРА ООО;1;0;0;0;0;0;1;0;665.0;0;0;665.0
Полюс-Норд;1;0;0;0;0;0;1;0;650.0;0;0;650.0
ИП Мурашев Василий Анатольевич;1;0;0;0;0;0;1;0;665.0;0;0;665.0
Колымавзрывпром;0;8;0;0;3;0;8;3;0;2440.0;0;2440.0
БелчитА.В.;2;0;0;0;0;0;2;0;1330.0;0;0;1330.0
Стэлс;0;0;0;3;0;0;0;3;0.0;0;0;0.0
