Номер;;Статус;чтото;;Начисления;"Исходящие местные и переадре-
сация";;Исходящие МГ/МН;;SMS и MMS;GPRS и WAP;;Контент и голосовые услуги;Услуги в роуминге;;Квота;"Свобод-
ных сред-
ств по квоте";Фильтр;;еще;
79011114043;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79011114729;;Активен;M2M единый 10_2022;;21,83;0;;0;;0;6,98;;0;0;;150;143,02;Без ограничений;;0;
79012400479;;Активен;M2M единый 10_2022;;19,23;0;;0;;0;4,38;;0;0;;150;145,62;Без ограничений;;0;
79012401864;;Активен;M2M единый 10_2022;;28,5;0;;0;;0;12;;0;0;;150;138;Без ограничений;;0;
79012402085;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79012403587;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79012404026;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79012405726;;Активен;M2M единый 10_2022;;24,99;0;;0;;0;10,14;;0;0;;150;139,86;Без ограничений;;0;
79012409051;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79012412042;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79012413181;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79012416138;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79012418090;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016231293;;Активен;M2M единый 10_2022;;16,57;0;;0;;0;1,72;;0;0;;150;148,28;Без ограничений;;0;
79016232157;;Активен;M2M единый 10_2022;;24,74;0;;0;;0;9,89;;0;0;;150;140,11;Без ограничений;;0;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Стр. 1;;
;;;;;;;;;;;;;;;;;;;;;
79016234087;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016235429;;Активен;M2M единый 10_2022;;27,64;0;;0;;0;12,79;;0;0;;150;137,21;Без ограничений;;0;
79016237593;;Активен;M2M единый 10_2022;;23,84;0;;0;;0;7,34;;0;0;;150;142,66;Без ограничений;;0;
79016238723;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016241373;;Активен;M2M единый 10_2022;;29,92;0;;0;;0;13,42;;0;0;;150;136,58;Без ограничений;;0;
79016241673;;Активен;M2M единый 10_2022;;45,55;0;;0;;0;30,7;;0;0;;150;119,3;Без ограничений;;0;
79016242473;;Активен;M2M единый 10_2022;;16,4;0;;0;;0;1,55;;0;0;;150;148,45;Без ограничений;;0;
79016242499;;Активен;M2M единый 10_2022;;18,11;0;;0;;0;3,26;;0;0;;150;146,74;Без ограничений;;0;
79016244805;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016245233;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016246791;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016250742;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016251977;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252696;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252770;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79016252774;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252775;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252778;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252785;;Активен;M2M единый 10_2022;;11,9;0;;0;;0;1,79;;0;0;;150;148,21;Без ограничений;;0;
79016252787;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252788;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252793;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252799;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252801;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Стр. 2;;
;;;;;;;;;;;;;;;;;;;;;
79016252806;;Активен;M2M единый 10_2022;;44,81;0;;0;;0;28,31;;0;0;;150;121,69;Без ограничений;;0;
79016252807;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252812;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252816;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252817;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252818;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252819;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252820;;Активен;M2M единый 10_2022;;56,59;0;;0;;0;40,09;;0;0;;150;109,91;Без ограничений;;0;
79016252827;;Активен;M2M единый 10_2022;;24,02;0;;0;;0;7,52;;0;0;;150;142,48;Без ограничений;;0;
79016252830;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252834;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252836;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252846;;Активен;M2M единый 10_2022;;25,38;0;;0;;0;8,88;;0;0;;150;141,12;Без ограничений;;0;
79016252851;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252853;;Активен;M2M единый 10_2022;;45,99;0;;0;;0;29,49;;0;0;;150;120,51;Без ограничений;;0;
79016252855;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252857;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252861;;Активен;M2M единый 10_2022;;24,66;0;;0;;0;8,16;;0;0;;150;141,84;Без ограничений;;0;
79016252862;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252865;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252868;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252871;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252872;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252873;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Стр. 3;;
;;;;;;;;;;;;;;;;;;;;;
79016252875;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252890;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252891;;Активен;M2M единый 10_2022;;36,51;0;;0;;0;20,01;;0;0;;150;129,99;Без ограничений;;0;
79016252892;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252893;;Активен;M2M единый 10_2022;;2500;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252895;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252896;;Активен;M2M единый 10_2022;;1400;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252897;;Активен;M2M единый 10_2022;;1416,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252899;;Активен;M2M единый 10_2022;;42,68;0;;0;;0;26,18;;0;0;;150;123,82;Без ограничений;;0;
79016252901;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252904;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252906;;Активен;M2M единый 10_2022;;17,59;0;;0;;0;1,09;;0;0;;150;148,91;Без ограничений;;0;
79016252909;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252910;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252911;;Активен;M2M единый 10_2022;;35,88;0;;0;;0;19,38;;0;0;;150;130,62;Без ограничений;;0;
79016252913;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
